adviser_id,tier,sector,barrier,success_rate,sample_size
ADV-0001,mid,Warehouse / logistics,Transport cost,0.699,24
ADV-0001,mid,Warehouse / logistics,Childcare cost,0.619,31
ADV-0001,mid,Warehouse / logistics,Mental health,0.791,32
ADV-0001,mid,Warehouse / logistics,Physical health,0.596,16
ADV-0001,mid,Warehouse / logistics,Digital skills,0.64,12
ADV-0001,mid,Warehouse / logistics,English language,0.586,16
ADV-0001,mid,Warehouse / logistics,Housing instability,0.658,12
ADV-0001,mid,Warehouse / logistics,Criminal record,0.677,17
ADV-0001,mid,Warehouse / logistics,Confidence,0.68,11
ADV-0001,mid,Warehouse / logistics,Caring responsibilities,0.705,18
ADV-0001,mid,Retail,Transport cost,0.681,14
ADV-0001,mid,Retail,Childcare cost,0.618,24
ADV-0001,mid,Retail,Mental health,0.753,34
ADV-0001,mid,Retail,Physical health,0.697,10
ADV-0001,mid,Retail,Digital skills,0.603,19
ADV-0001,mid,Retail,English language,0.609,38
ADV-0001,mid,Retail,Housing instability,0.605,11
ADV-0001,mid,Retail,Criminal record,0.6,22
ADV-0001,mid,Retail,Confidence,0.581,38
ADV-0001,mid,Retail,Caring responsibilities,0.575,20
ADV-0001,mid,Hospitality,Transport cost,0.592,40
ADV-0001,mid,Hospitality,Childcare cost,0.678,16
ADV-0001,mid,Hospitality,Mental health,0.702,19
ADV-0001,mid,Hospitality,Physical health,0.672,20
ADV-0001,mid,Hospitality,Digital skills,0.712,22
ADV-0001,mid,Hospitality,English language,0.693,16
ADV-0001,mid,Hospitality,Housing instability,0.613,9
ADV-0001,mid,Hospitality,Criminal record,0.634,22
ADV-0001,mid,Hospitality,Confidence,0.577,8
ADV-0001,mid,Hospitality,Caring responsibilities,0.582,28
ADV-0001,mid,Construction,Transport cost,0.618,11
ADV-0001,mid,Construction,Childcare cost,0.696,22
ADV-0001,mid,Construction,Mental health,0.725,6
ADV-0001,mid,Construction,Physical health,0.619,44
ADV-0001,mid,Construction,Digital skills,0.673,34
ADV-0001,mid,Construction,English language,0.68,19
ADV-0001,mid,Construction,Housing instability,0.602,28
ADV-0001,mid,Construction,Criminal record,0.617,41
ADV-0001,mid,Construction,Confidence,0.576,15
ADV-0001,mid,Construction,Caring responsibilities,0.636,20
ADV-0001,mid,Care / health,Transport cost,0.671,26
ADV-0001,mid,Care / health,Childcare cost,0.583,28
ADV-0001,mid,Care / health,Mental health,0.685,5
ADV-0001,mid,Care / health,Physical health,0.632,33
ADV-0001,mid,Care / health,Digital skills,0.604,4
ADV-0001,mid,Care / health,English language,0.623,19
ADV-0001,mid,Care / health,Housing instability,0.665,29
ADV-0001,mid,Care / health,Criminal record,0.697,28
ADV-0001,mid,Care / health,Confidence,0.696,27
ADV-0001,mid,Care / health,Caring responsibilities,0.604,17
ADV-0001,mid,Driving,Transport cost,0.679,23
ADV-0001,mid,Driving,Childcare cost,0.713,14
ADV-0001,mid,Driving,Mental health,0.754,14
ADV-0001,mid,Driving,Physical health,0.603,8
ADV-0001,mid,Driving,Digital skills,0.662,39
ADV-0001,mid,Driving,English language,0.676,20
ADV-0001,mid,Driving,Housing instability,0.591,29
ADV-0001,mid,Driving,Criminal record,0.666,37
ADV-0001,mid,Driving,Confidence,0.576,19
ADV-0001,mid,Driving,Caring responsibilities,0.684,28
ADV-0001,mid,Cleaning / facilities,Transport cost,0.657,14
ADV-0001,mid,Cleaning / facilities,Childcare cost,0.657,25
ADV-0001,mid,Cleaning / facilities,Mental health,0.722,20
ADV-0001,mid,Cleaning / facilities,Physical health,0.625,40
ADV-0001,mid,Cleaning / facilities,Digital skills,0.66,21
ADV-0001,mid,Cleaning / facilities,English language,0.612,22
ADV-0001,mid,Cleaning / facilities,Housing instability,0.645,32
ADV-0001,mid,Cleaning / facilities,Criminal record,0.709,31
ADV-0001,mid,Cleaning / facilities,Confidence,0.668,14
ADV-0001,mid,Cleaning / facilities,Caring responsibilities,0.585,29
ADV-0001,mid,Admin / office,Transport cost,0.602,32
ADV-0001,mid,Admin / office,Childcare cost,0.612,12
ADV-0001,mid,Admin / office,Mental health,0.683,20
ADV-0001,mid,Admin / office,Physical health,0.656,49
ADV-0001,mid,Admin / office,Digital skills,0.599,21
ADV-0001,mid,Admin / office,English language,0.619,27
ADV-0001,mid,Admin / office,Housing instability,0.687,40
ADV-0001,mid,Admin / office,Criminal record,0.602,33
ADV-0001,mid,Admin / office,Confidence,0.642,43
ADV-0001,mid,Admin / office,Caring responsibilities,0.605,38
