customer_id,journey_id,polarity,feature,contribution
CUS-00001,JNY-00001,positive,SMS reply rate,1.082
CUS-00001,JNY-00001,positive,CV progress,0.954
CUS-00001,JNY-00001,positive,Vacancies engaged,0.8
CUS-00001,JNY-00001,negative,Open barriers,-0.0
CUS-00001,JNY-00001,negative,Sector demand,0.0
CUS-00001,JNY-00001,negative,Region demand,0.04
CUS-00002,JNY-00002,positive,Adviser sessions attended,0.35
CUS-00002,JNY-00002,positive,SMS reply rate,0.336
CUS-00002,JNY-00002,positive,CV progress,0.209
CUS-00002,JNY-00002,negative,Open barriers,-1.6
CUS-00002,JNY-00002,negative,Region demand,-0.048
CUS-00002,JNY-00002,negative,Action plan completion,0.0
CUS-00003,JNY-00003,positive,CV progress,0.385
CUS-00003,JNY-00003,positive,SMS reply rate,0.356
CUS-00003,JNY-00003,positive,Push open rate,0.19
CUS-00003,JNY-00003,negative,Open barriers,-1.6
CUS-00003,JNY-00003,negative,Action plan completion,0.0
CUS-00003,JNY-00003,negative,Adviser sessions attended,0.0
CUS-00004,JNY-00004,positive,CV progress,1.096
CUS-00004,JNY-00004,positive,SMS reply rate,1.0
CUS-00004,JNY-00004,positive,Action plan completion,0.6
CUS-00004,JNY-00004,negative,Open barriers,-0.0
CUS-00004,JNY-00004,negative,Region demand,0.072
CUS-00004,JNY-00004,negative,Sector demand,0.15
CUS-00005,JNY-00005,positive,CV progress,1.28
CUS-00005,JNY-00005,positive,SMS reply rate,1.244
CUS-00005,JNY-00005,positive,Push open rate,0.604
CUS-00005,JNY-00005,negative,Region demand,-0.032
CUS-00005,JNY-00005,negative,Open barriers,-0.0
CUS-00005,JNY-00005,negative,Sector demand,0.15
CUS-00006,JNY-00006,positive,CV progress,0.623
CUS-00006,JNY-00006,positive,SMS reply rate,0.406
CUS-00006,JNY-00006,positive,Adviser sessions attended,0.35
CUS-00006,JNY-00006,negative,Open barriers,-1.6
CUS-00006,JNY-00006,negative,Sector demand,-0.075
CUS-00006,JNY-00006,negative,Action plan completion,0.0
CUS-00007,JNY-00007,positive,SMS reply rate,0.716
CUS-00007,JNY-00007,positive,CV progress,0.61
CUS-00007,JNY-00007,positive,Vacancies engaged,0.32
CUS-00007,JNY-00007,negative,Open barriers,-1.6
CUS-00007,JNY-00007,negative,Region demand,-0.032
CUS-00007,JNY-00007,negative,Action plan completion,0.0
CUS-00008,JNY-00008,positive,CV progress,0.398
CUS-00008,JNY-00008,positive,Vacancies engaged,0.32
CUS-00008,JNY-00008,positive,Push open rate,0.304
CUS-00008,JNY-00008,negative,Open barriers,-1.2
CUS-00008,JNY-00008,negative,Region demand,-0.048
CUS-00008,JNY-00008,negative,Action plan completion,0.0
CUS-00009,JNY-00009,positive,SMS reply rate,0.738
CUS-00009,JNY-00009,positive,Adviser sessions attended,0.35
CUS-00009,JNY-00009,positive,Push open rate,0.347
CUS-00009,JNY-00009,negative,Open barriers,-1.6
CUS-00009,JNY-00009,negative,Action plan completion,0.0
CUS-00009,JNY-00009,negative,Vacancies engaged,0.0
CUS-00010,JNY-00010,positive,SMS reply rate,1.362
CUS-00010,JNY-00010,positive,CV progress,1.058
CUS-00010,JNY-00010,positive,Adviser sessions attended,0.7
CUS-00010,JNY-00010,negative,Open barriers,-0.4
CUS-00010,JNY-00010,negative,Region demand,-0.02
CUS-00010,JNY-00010,negative,Sector demand,0.075
CUS-00011,JNY-00011,positive,SMS reply rate,1.306
CUS-00011,JNY-00011,positive,CV progress,1.271
CUS-00011,JNY-00011,positive,Push open rate,0.732
CUS-00011,JNY-00011,negative,Sector demand,-0.05
CUS-00011,JNY-00011,negative,Region demand,-0.032
CUS-00011,JNY-00011,negative,Open barriers,-0.0
CUS-00012,JNY-00012,positive,SMS reply rate,0.588
CUS-00012,JNY-00012,positive,CV progress,0.401
CUS-00012,JNY-00012,positive,Adviser sessions attended,0.35
CUS-00012,JNY-00012,negative,Open barriers,-1.6
CUS-00012,JNY-00012,negative,Action plan completion,0.0
CUS-00012,JNY-00012,negative,Region demand,0.072
CUS-00013,JNY-00013,positive,SMS reply rate,1.886
CUS-00013,JNY-00013,positive,Vacancies engaged,1.76
CUS-00013,JNY-00013,positive,CV progress,1.735
CUS-00013,JNY-00013,negative,Open barriers,-0.0
CUS-00013,JNY-00013,negative,Sector demand,0.0
CUS-00013,JNY-00013,negative,Region demand,0.072
CUS-00014,JNY-00014,positive,SMS reply rate,0.77
CUS-00014,JNY-00014,positive,CV progress,0.45
CUS-00014,JNY-00014,positive,Adviser sessions attended,0.35
