journey_id,customer_id,adviser_id,region_key,started_date,current_stage,journey_state,success_probability,scenario_band,outcome,days_to_placement,placed_date,sustainability_pct,sms_reply_pct,push_open_pct,plan_completion_3,cv_progress_pct,vacancies_saved,sessions_attended_3,open_barriers
JNY-00001,CUS-00001,ADV-0097,north-london,2026-03-28,insupport,Success,95.8,drifting,Sustained 6mo+,109,2026-07-15,60,54.1,50.1,1,53.0,5,2,0
JNY-00002,CUS-00002,ADV-0177,wales,2026-01-01,actionplan,Paused,34.1,atrisk,Ongoing,0,1970-01-01,39,16.8,14.2,0,11.6,0,1,4
JNY-00003,CUS-00003,ADV-0237,south-east-london,2026-02-27,interview,Progressing,75.5,atrisk,Placed - in progress,139,2026-07-16,29,17.8,15.8,0,21.4,1,0,4
JNY-00004,CUS-00004,ADV-0233,south-east-london,2025-12-07,offer,Progressing,79.7,drifting,Placed - in progress,91,2026-03-08,72,50.0,47.0,2,60.9,3,1,0
JNY-00005,CUS-00005,ADV-0112,derbyshire-notts,2026-04-22,insupport,Success,95.6,drifting,Sustained 6mo+,83,2026-07-14,64,62.2,50.3,1,71.1,1,1,0
JNY-00006,CUS-00006,ADV-0054,south-east-london,2026-01-29,actionplan,Failure,2.6,atrisk,Sanctioned referral,204,2026-08-21,33,20.3,22.4,0,34.6,2,1,4
JNY-00007,CUS-00007,ADV-0048,derbyshire-notts,2026-01-28,jobmatch,Regressing,21.8,atrisk,Ongoing,0,1970-01-01,44,35.8,18.7,0,33.9,2,0,4
JNY-00008,CUS-00008,ADV-0136,wales,2026-03-30,jobmatch,Failure,2.4,atrisk,Sanctioned referral,156,2026-09-02,41,10.6,25.3,0,22.1,2,0,3
JNY-00009,CUS-00009,ADV-0154,north-london,2025-10-04,actionplan,Failure,7.5,atrisk,Withdrawn,148,2026-03-01,26,36.9,28.9,0,18.9,0,1,4
JNY-00010,CUS-00010,ADV-0081,south-yorkshire,2026-03-08,insupport,Success,95.9,drifting,Sustained 6mo+,94,2026-06-10,60,68.1,47.4,2,58.8,3,2,1
JNY-00011,CUS-00011,ADV-0112,derbyshire-notts,2025-12-04,nudgeFirstDay,Progressing,91.7,drifting,Placed - in progress,63,2026-02-05,61,65.3,61.0,1,70.6,3,1,0
JNY-00012,CUS-00012,ADV-0040,south-east-london,2026-05-12,diagnostic,Failure,9.8,atrisk,Withdrawn,112,2026-09-01,39,29.4,14.0,0,22.3,1,1,4
JNY-00013,CUS-00013,ADV-0090,south-east-london,2026-03-22,nudgeFirstDay,Progressing,75.3,ontrack,Placed - in progress,39,2026-04-30,72,94.3,91.6,3,96.4,11,3,0
JNY-00014,CUS-00014,ADV-0041,south-east-london,2025-09-09,routerCheck,Regressing,31.9,atrisk,Ongoing,0,1970-01-01,45,38.5,15.2,0,25.0,0,1,2
JNY-00015,CUS-00015,ADV-0009,south-yorkshire,2026-01-26,skills,Paused,25.0,atrisk,Ongoing,0,1970-01-01,45,39.9,22.7,0,31.1,1,1,2
JNY-00016,CUS-00016,ADV-0213,derbyshire-notts,2025-11-13,routerCheck,Regressing,42.2,drifting,Ongoing,0,1970-01-01,67,61.3,40.4,1,63.7,1,1,0
JNY-00017,CUS-00017,ADV-0170,derbyshire-notts,2026-03-18,diagnostic,Stalled,23.3,atrisk,Ongoing,0,1970-01-01,52,15.3,12.9,0,28.7,3,0,4
JNY-00018,CUS-00018,ADV-0119,south-east-london,2026-01-22,referral,Failure,27.3,drifting,Placed - dropped,91,2026-04-23,70,59.7,45.8,1,57.9,3,2,0
JNY-00019,CUS-00019,ADV-0179,south-yorkshire,2025-09-10,actionplan,Failure,17.8,drifting,Placed - dropped,62,2025-11-11,68,47.9,56.2,1,63.5,5,1,0
JNY-00020,CUS-00020,ADV-0026,wales,2025-12-16,actionplan,Stalled,30.4,atrisk,Ongoing,0,1970-01-01,57,33.5,23.0,1,10.8,3,1,4
JNY-00021,CUS-00021,ADV-0085,south-east-london,2026-01-16,referral,Failure,29.1,atrisk,Placed - dropped,136,2026-06-01,32,27.3,22.8,1,26.0,1,0,4
JNY-00022,CUS-00022,ADV-0118,south-yorkshire,2025-11-22,jobmatch,Regressing,47.9,drifting,Ongoing,0,1970-01-01,66,48.6,56.2,1,44.8,2,1,0
JNY-00023,CUS-00023,ADV-0121,derbyshire-notts,2026-02-20,offer,Progressing,83.8,ontrack,Placed - in progress,46,2026-04-07,87,93.0,79.8,3,84.5,10,3,0
JNY-00024,CUS-00024,ADV-0201,derbyshire-notts,2026-04-13,insupport,Success,98.9,drifting,Sustained 6mo+,76,2026-06-28,50,56.9,54.1,1,64.5,4,1,0
JNY-00025,CUS-00025,ADV-0161,wales,2026-03-18,actionplan,Paused,31.4,atrisk,Ongoing,0,1970-01-01,20,14.8,29.2,0,13.0,3,0,2
JNY-00026,CUS-00026,ADV-0105,wales,2025-09-27,referral,Failure,10.4,atrisk,Withdrawn,182,2026-03-28,36,10.5,17.2,0,42.1,0,1,4
JNY-00027,CUS-00027,ADV-0152,derbyshire-notts,2026-01-28,actionplan,Failure,34.2,atrisk,Placed - dropped,155,2026-07-02,30,32.1,29.7,0,41.2,3,0,3
JNY-00028,CUS-00028,ADV-0198,south-east-london,2025-11-18,skills,Failure,6.8,atrisk,Sanctioned referral,204,2026-06-10,40,23.6,33.0,0,17.8,1,0,2
JNY-00029,CUS-00029,ADV-0205,south-east-london,2025-10-19,referral,Failure,23.3,atrisk,Placed - dropped,140,2026-03-08,20,32.3,20.1,0,40.6,0,1,4
JNY-00030,CUS-00030,ADV-0009,south-yorkshire,2026-03-13,skills,Failure,2.9,atrisk,Sanctioned referral,191,2026-09-20,38,36.1,6.7,0,16.7,1,1,4
JNY-00031,CUS-00031,ADV-0213,derbyshire-notts,2026-04-05,insupport,Success,98.7,ontrack,Sustained 6mo+,40,2026-05-15,78,88.1,93.4,2,96.7,6,3,0
JNY-00032,CUS-00032,ADV-0053,north-london,2026-04-24,jobmatch,Progressing,84.9,ontrack,Placed - in progress,38,2026-06-01,80,87.2,86.6,2,92.0,7,2,0
JNY-00033,CUS-00033,ADV-0045,wales,2025-09-12,jobmatch,Failure,34.6,atrisk,Placed - dropped,141,2026-01-31,50,15.7,25.5,1,39.1,1,0,3
JNY-00034,CUS-00034,ADV-0234,north-london,2025-09-15,jobmatch,Failure,10.6,atrisk,Sanctioned referral,82,2025-12-06,46,39.4,5.9,0,38.9,1,1,2
JNY-00035,CUS-00035,ADV-0035,north-london,2025-12-31,nudgeFirstDay,Progressing,89.2,ontrack,Placed - in progress,57,2026-02-26,81,86.3,77.7,3,92.9,8,3,0
JNY-00036,CUS-00036,ADV-0246,south-east-london,2026-02-17,nudgeFirstDay,Progressing,79.1,atrisk,Placed - in progress,148,2026-07-15,54,11.4,8.7,1,10.1,0,1,4
JNY-00037,CUS-00037,ADV-0086,south-east-london,2026-03-25,skills,Regressing,22.6,atrisk,Ongoing,0,1970-01-01,34,33.8,19.9,0,16.8,2,1,3
JNY-00038,CUS-00038,ADV-0134,derbyshire-notts,2025-12-13,actionplan,Failure,7.1,atrisk,Sanctioned referral,189,2026-06-20,47,33.9,8.9,0,33.8,1,0,3
JNY-00039,CUS-00039,ADV-0003,south-east-london,2026-04-03,skills,Failure,6.1,atrisk,Withdrawn,125,2026-08-06,36,28.0,16.3,1,21.4,3,1,4
JNY-00040,CUS-00040,ADV-0227,wales,2026-03-03,diagnostic,Failure,31.2,atrisk,Placed - dropped,202,2026-09-21,48,30.0,32.5,1,39.1,0,1,3
JNY-00041,CUS-00041,ADV-0074,south-yorkshire,2026-04-10,insupport,Success,96.0,drifting,Sustained 6mo+,80,2026-06-29,56,45.7,43.3,2,49.7,2,1,2
JNY-00042,CUS-00042,ADV-0091,derbyshire-notts,2025-09-02,actionplan,Paused,14.9,atrisk,Ongoing,0,1970-01-01,51,28.0,15.1,0,13.7,3,0,4
