customer_id,adviser_id,is_assigned,rank,fit_score,model_score
CUS-00001,ADV-0097,True,4,79.5,0.23771085079387838
CUS-00002,ADV-0244,False,2,81.5,0.22289511157265413
CUS-00003,ADV-0237,True,6,65.9,0.37195160387978593
CUS-00004,ADV-0233,True,5,82.2,0.20618494488970332
CUS-00005,ADV-0048,False,1,88.0,0.41811116077188076
CUS-00006,ADV-0181,False,4,67.5,0.230538708704023
CUS-00007,ADV-0048,True,1,88.0,0.41811116077188076
CUS-00008,ADV-0111,False,1,86.8,0.14801586393430985
CUS-00009,ADV-0216,False,6,72.7,0.25542566213844997
CUS-00010,ADV-0027,False,8,56.0,0.5888264585039533
CUS-00011,ADV-0128,False,8,65.2,0.06252260341631544
CUS-00012,ADV-0147,False,5,73.7,-0.045457238663818525
CUS-00013,ADV-0115,False,3,74.7,-0.06143988787624361
CUS-00014,ADV-0224,False,3,80.8,0.21951776884431093
CUS-00015,ADV-0009,True,1,86.0,0.8596685334749269
CUS-00016,ADV-0231,False,5,72.5,-0.02542721447017718
CUS-00017,ADV-0152,False,7,67.4,0.0684520319874266
CUS-00018,ADV-0054,False,8,57.5,0.12735970835939792
CUS-00019,ADV-0051,False,6,60.8,1.3534088206614028
CUS-00020,ADV-0078,False,7,65.7,0.3068519924220274
CUS-00021,ADV-0119,False,8,58.7,0.2901229333352997
CUS-00022,ADV-0104,False,2,67.0,0.4937394225356809
CUS-00023,ADV-0037,False,4,71.1,0.11116938263570754
CUS-00024,ADV-0231,False,7,72.5,-0.02542721447017718
CUS-00025,ADV-0078,False,7,65.5,0.2682312035438104
CUS-00026,ADV-0177,False,6,65.0,0.06426067284866617
CUS-00027,ADV-0058,False,3,70.6,0.05138291882952318
CUS-00028,ADV-0164,False,8,50.2,0.4291850715492125
CUS-00029,ADV-0010,False,8,57.4,0.5995938160924854
CUS-00030,ADV-0009,True,1,80.3,0.22301012346033647
CUS-00031,ADV-0231,False,4,72.5,-0.02542721447017718
CUS-00032,ADV-0024,False,6,64.8,-0.032206926905007524
CUS-00033,ADV-0111,False,2,86.8,0.14801586393430985
CUS-00034,ADV-0234,True,3,73.6,0.03478596629963352
CUS-00035,ADV-0028,False,1,83.5,0.20429081800340007
CUS-00036,ADV-0197,False,1,88.0,0.4696593412017725
CUS-00037,ADV-0123,False,2,82.5,0.3103770804822349
CUS-00038,ADV-0137,False,7,64.1,0.3540754238031849
CUS-00039,ADV-0014,False,2,81.4,-0.062037793564383575
CUS-00040,ADV-0244,False,2,81.5,0.22289511157265413
CUS-00041,ADV-0074,True,2,76.8,0.0418445225817343
CUS-00042,ADV-0134,False,1,86.5,0.6164827557485041
CUS-00043,ADV-0167,False,8,49.1,1.0854376154223282
CUS-00044,ADV-0010,True,7,54.5,1.3887191993354662
CUS-00045,ADV-0168,False,4,78.6,-0.04689055898131733
CUS-00046,ADV-0245,False,8,60.6,0.038301300305797335
CUS-00047,ADV-0018,True,1,81.0,-0.040480912854314634
CUS-00048,ADV-0093,False,2,79.7,0.12178902043090034
CUS-00049,ADV-0205,False,1,79.4,0.28923174827739706
CUS-00050,ADV-0240,False,3,71.4,0.11582025590700536
