router_score_id,journey_id,customer_id,adviser_id,region_key,check_type,score,band,action_taken,score_date
RTR-JNY-00001-mid,JNY-00001,CUS-00001,ADV-0097,north-london,mid_journey,60,DRIFTING,in_person_48h,2026-04-27
RTR-JNY-00001-end,JNY-00001,CUS-00001,ADV-0097,north-london,end_of_journey,67,DRIFTING,training_update_applied,2026-07-26
RTR-JNY-00002-mid,JNY-00002,CUS-00002,ADV-0177,wales,mid_journey,12,AT_RISK,call_today_mh_referral,2026-01-31
RTR-JNY-00003-mid,JNY-00003,CUS-00003,ADV-0237,south-east-london,mid_journey,11,AT_RISK,call_today_mh_referral,2026-03-29
RTR-JNY-00003-end,JNY-00003,CUS-00003,ADV-0237,south-east-london,end_of_journey,29,AT_RISK,training_update_applied,2026-06-27
RTR-JNY-00004-mid,JNY-00004,CUS-00004,ADV-0233,south-east-london,mid_journey,56,DRIFTING,in_person_48h,2026-01-06
RTR-JNY-00004-end,JNY-00004,CUS-00004,ADV-0233,south-east-london,end_of_journey,62,DRIFTING,training_update_applied,2026-04-06
RTR-JNY-00005-mid,JNY-00005,CUS-00005,ADV-0112,derbyshire-notts,mid_journey,52,DRIFTING,in_person_48h,2026-05-22
RTR-JNY-00005-end,JNY-00005,CUS-00005,ADV-0112,derbyshire-notts,end_of_journey,59,DRIFTING,training_update_applied,2026-08-20
RTR-JNY-00006-mid,JNY-00006,CUS-00006,ADV-0054,south-east-london,mid_journey,21,AT_RISK,call_today_mh_referral,2026-02-28
RTR-JNY-00007-mid,JNY-00007,CUS-00007,ADV-0048,derbyshire-notts,mid_journey,18,AT_RISK,call_today_mh_referral,2026-02-27
RTR-JNY-00008-mid,JNY-00008,CUS-00008,ADV-0136,wales,mid_journey,15,AT_RISK,call_today_mh_referral,2026-04-29
RTR-JNY-00009-mid,JNY-00009,CUS-00009,ADV-0154,north-london,mid_journey,20,AT_RISK,call_today_mh_referral,2025-11-03
RTR-JNY-00010-mid,JNY-00010,CUS-00010,ADV-0081,south-yorkshire,mid_journey,62,DRIFTING,in_person_48h,2026-04-07
RTR-JNY-00010-end,JNY-00010,CUS-00010,ADV-0081,south-yorkshire,end_of_journey,68,DRIFTING,training_update_applied,2026-07-06
RTR-JNY-00011-mid,JNY-00011,CUS-00011,ADV-0112,derbyshire-notts,mid_journey,58,DRIFTING,in_person_48h,2026-01-03
RTR-JNY-00011-end,JNY-00011,CUS-00011,ADV-0112,derbyshire-notts,end_of_journey,72,DRIFTING,training_update_applied,2026-04-03
RTR-JNY-00012-mid,JNY-00012,CUS-00012,ADV-0040,south-east-london,mid_journey,18,AT_RISK,call_today_mh_referral,2026-06-11
RTR-JNY-00013-mid,JNY-00013,CUS-00013,ADV-0090,south-east-london,mid_journey,97,ON_TRACK,light_touch,2026-04-21
RTR-JNY-00013-end,JNY-00013,CUS-00013,ADV-0090,south-east-london,end_of_journey,100,ON_TRACK,training_update_applied,2026-07-20
RTR-JNY-00014-mid,JNY-00014,CUS-00014,ADV-0041,south-east-london,mid_journey,24,AT_RISK,call_today_mh_referral,2025-10-09
RTR-JNY-00015-mid,JNY-00015,CUS-00015,ADV-0009,south-yorkshire,mid_journey,28,AT_RISK,call_today_mh_referral,2026-02-25
RTR-JNY-00016-mid,JNY-00016,CUS-00016,ADV-0213,derbyshire-notts,mid_journey,50,DRIFTING,in_person_48h,2025-12-13
RTR-JNY-00017-mid,JNY-00017,CUS-00017,ADV-0170,derbyshire-notts,mid_journey,14,AT_RISK,call_today_mh_referral,2026-04-17
RTR-JNY-00018-mid,JNY-00018,CUS-00018,ADV-0119,south-east-london,mid_journey,57,DRIFTING,in_person_48h,2026-02-21
RTR-JNY-00018-end,JNY-00018,CUS-00018,ADV-0119,south-east-london,end_of_journey,71,DRIFTING,training_update_applied,2026-05-22
RTR-JNY-00019-mid,JNY-00019,CUS-00019,ADV-0179,south-yorkshire,mid_journey,56,DRIFTING,in_person_48h,2025-10-10
RTR-JNY-00019-end,JNY-00019,CUS-00019,ADV-0179,south-yorkshire,end_of_journey,70,DRIFTING,training_update_applied,2026-01-08
RTR-JNY-00020-mid,JNY-00020,CUS-00020,ADV-0026,wales,mid_journey,27,AT_RISK,call_today_mh_referral,2026-01-15
RTR-JNY-00021-mid,JNY-00021,CUS-00021,ADV-0085,south-east-london,mid_journey,19,AT_RISK,call_today_mh_referral,2026-02-15
RTR-JNY-00021-end,JNY-00021,CUS-00021,ADV-0085,south-east-london,end_of_journey,38,AT_RISK,training_update_applied,2026-05-16
RTR-JNY-00022-mid,JNY-00022,CUS-00022,ADV-0118,south-yorkshire,mid_journey,48,AT_RISK,call_today_mh_referral,2025-12-22
RTR-JNY-00023-mid,JNY-00023,CUS-00023,ADV-0121,derbyshire-notts,mid_journey,93,ON_TRACK,light_touch,2026-03-22
RTR-JNY-00023-end,JNY-00023,CUS-00023,ADV-0121,derbyshire-notts,end_of_journey,97,ON_TRACK,training_update_applied,2026-06-20
RTR-JNY-00024-mid,JNY-00024,CUS-00024,ADV-0201,derbyshire-notts,mid_journey,56,DRIFTING,in_person_48h,2026-05-13
RTR-JNY-00024-end,JNY-00024,CUS-00024,ADV-0201,derbyshire-notts,end_of_journey,70,DRIFTING,training_update_applied,2026-08-11
RTR-JNY-00025-mid,JNY-00025,CUS-00025,ADV-0161,wales,mid_journey,19,AT_RISK,call_today_mh_referral,2026-04-17
RTR-JNY-00026-mid,JNY-00026,CUS-00026,ADV-0105,wales,mid_journey,16,AT_RISK,call_today_mh_referral,2025-10-27
RTR-JNY-00027-mid,JNY-00027,CUS-00027,ADV-0152,derbyshire-notts,mid_journey,25,AT_RISK,call_today_mh_referral,2026-02-27
RTR-JNY-00027-end,JNY-00027,CUS-00027,ADV-0152,derbyshire-notts,end_of_journey,45,AT_RISK,training_update_applied,2026-05-28
RTR-JNY-00028-mid,JNY-00028,CUS-00028,ADV-0198,south-east-london,mid_journey,19,AT_RISK,call_today_mh_referral,2025-12-18
RTR-JNY-00029-mid,JNY-00029,CUS-00029,ADV-0205,south-east-london,mid_journey,21,AT_RISK,call_today_mh_referral,2025-11-18
RTR-JNY-00029-end,JNY-00029,CUS-00029,ADV-0205,south-east-london,end_of_journey,42,AT_RISK,training_update_applied,2026-02-16
RTR-JNY-00030-mid,JNY-00030,CUS-00030,ADV-0009,south-yorkshire,mid_journey,17,AT_RISK,call_today_mh_referral,2026-04-12
RTR-JNY-00031-mid,JNY-00031,CUS-00031,ADV-0213,derbyshire-notts,mid_journey,91,ON_TRACK,light_touch,2026-05-05
RTR-JNY-00031-end,JNY-00031,CUS-00031,ADV-0213,derbyshire-notts,end_of_journey,94,ON_TRACK,training_update_applied,2026-08-03
RTR-JNY-00032-mid,JNY-00032,CUS-00032,ADV-0053,north-london,mid_journey,84,ON_TRACK,light_touch,2026-05-24
RTR-JNY-00032-end,JNY-00032,CUS-00032,ADV-0053,north-london,end_of_journey,90,ON_TRACK,training_update_applied,2026-08-22
RTR-JNY-00033-mid,JNY-00033,CUS-00033,ADV-0045,wales,mid_journey,22,AT_RISK,call_today_mh_referral,2025-10-12
RTR-JNY-00033-end,JNY-00033,CUS-00033,ADV-0045,wales,end_of_journey,41,AT_RISK,training_update_applied,2026-01-10
RTR-JNY-00034-mid,JNY-00034,CUS-00034,ADV-0234,north-london,mid_journey,26,AT_RISK,call_today_mh_referral,2025-10-15
RTR-JNY-00035-mid,JNY-00035,CUS-00035,ADV-0035,north-london,mid_journey,93,ON_TRACK,light_touch,2026-01-30
RTR-JNY-00035-end,JNY-00035,CUS-00035,ADV-0035,north-london,end_of_journey,100,ON_TRACK,training_update_applied,2026-04-30
RTR-JNY-00036-mid,JNY-00036,CUS-00036,ADV-0246,south-east-london,mid_journey,15,AT_RISK,call_today_mh_referral,2026-03-19
RTR-JNY-00036-end,JNY-00036,CUS-00036,ADV-0246,south-east-london,end_of_journey,37,AT_RISK,training_update_applied,2026-06-17
RTR-JNY-00037-mid,JNY-00037,CUS-00037,ADV-0086,south-east-london,mid_journey,23,AT_RISK,call_today_mh_referral,2026-04-24
RTR-JNY-00038-mid,JNY-00038,CUS-00038,ADV-0134,derbyshire-notts,mid_journey,17,AT_RISK,call_today_mh_referral,2026-01-12
RTR-JNY-00039-mid,JNY-00039,CUS-00039,ADV-0003,south-east-london,mid_journey,26,AT_RISK,call_today_mh_referral,2026-05-03
RTR-JNY-00040-mid,JNY-00040,CUS-00040,ADV-0227,wales,mid_journey,29,AT_RISK,call_today_mh_referral,2026-04-02
RTR-JNY-00040-end,JNY-00040,CUS-00040,ADV-0227,wales,end_of_journey,48,AT_RISK,training_update_applied,2026-07-01
RTR-JNY-00041-mid,JNY-00041,CUS-00041,ADV-0074,south-yorkshire,mid_journey,46,AT_RISK,call_today_mh_referral,2026-05-10
RTR-JNY-00041-end,JNY-00041,CUS-00041,ADV-0074,south-yorkshire,end_of_journey,69,DRIFTING,training_update_applied,2026-08-08
RTR-JNY-00042-mid,JNY-00042,CUS-00042,ADV-0091,derbyshire-notts,mid_journey,15,AT_RISK,call_today_mh_referral,2025-10-02
RTR-JNY-00043-mid,JNY-00043,CUS-00043,ADV-0105,wales,mid_journey,25,AT_RISK,call_today_mh_referral,2025-10-16
RTR-JNY-00044-mid,JNY-00044,CUS-00044,ADV-0010,south-east-london,mid_journey,19,AT_RISK,call_today_mh_referral,2026-05-17
RTR-JNY-00045-mid,JNY-00045,CUS-00045,ADV-0212,north-london,mid_journey,29,AT_RISK,call_today_mh_referral,2026-02-11
RTR-JNY-00046-mid,JNY-00046,CUS-00046,ADV-0020,south-yorkshire,mid_journey,61,DRIFTING,in_person_48h,2026-04-18
RTR-JNY-00047-mid,JNY-00047,CUS-00047,ADV-0018,south-east-london,mid_journey,53,DRIFTING,in_person_48h,2026-01-08
RTR-JNY-00047-end,JNY-00047,CUS-00047,ADV-0018,south-east-london,end_of_journey,64,DRIFTING,training_update_applied,2026-04-08
RTR-JNY-00048-mid,JNY-00048,CUS-00048,ADV-0148,south-yorkshire,mid_journey,63,DRIFTING,in_person_48h,2026-03-05
RTR-JNY-00048-end,JNY-00048,CUS-00048,ADV-0148,south-yorkshire,end_of_journey,69,DRIFTING,training_update_applied,2026-06-03
RTR-JNY-00049-mid,JNY-00049,CUS-00049,ADV-0039,south-east-london,mid_journey,21,AT_RISK,call_today_mh_referral,2025-10-08
