customer_id,adviser_id,rank,weekly_hazard,median_weeks_to_placement,survival_w1,survival_w2,survival_w4,survival_w8,survival_w12,survival_w16,survival_w24
CUS-00001,ADV-0092,1,0.0357,19.0,96.4,93.0,86.5,74.7,64.6,55.9,41.8
CUS-00001,ADV-0088,2,0.0363,18.8,96.4,92.9,86.3,74.4,64.2,55.4,41.2
CUS-00001,ADV-0204,3,0.0359,19.0,96.4,93.0,86.4,74.7,64.5,55.8,41.6
CUS-00002,ADV-0140,1,0.0087,79.5,99.1,98.3,96.6,93.3,90.1,87.0,81.1
CUS-00002,ADV-0244,2,0.0081,84.8,99.2,98.4,96.8,93.7,90.7,87.7,82.2
CUS-00002,ADV-0240,3,0.0086,80.2,99.1,98.3,96.6,93.3,90.2,87.1,81.3
CUS-00003,ADV-0202,1,0.0259,26.4,97.4,94.9,90.0,81.1,73.0,65.7,53.3
CUS-00003,ADV-0233,2,0.026,26.3,97.4,94.9,90.0,81.0,72.9,65.6,53.2
CUS-00003,ADV-0246,3,0.0255,26.9,97.5,95.0,90.2,81.4,73.4,66.2,53.8
CUS-00004,ADV-0062,1,0.0798,8.3,92.0,84.7,71.7,51.4,36.9,26.4,13.6
CUS-00004,ADV-0146,2,0.082,8.1,91.8,84.3,71.0,50.4,35.8,25.4,12.8
CUS-00004,ADV-0223,3,0.0774,8.6,92.3,85.1,72.5,52.5,38.0,27.6,14.5
CUS-00005,ADV-0048,1,0.0397,17.1,96.0,92.2,85.0,72.3,61.5,52.3,37.8
CUS-00005,ADV-0203,2,0.0406,16.7,95.9,92.0,84.7,71.8,60.8,51.5,37.0
CUS-00005,ADV-0162,3,0.039,17.4,96.1,92.4,85.3,72.8,62.1,53.0,38.5
CUS-00006,ADV-0223,1,0.0407,16.7,95.9,92.0,84.7,71.7,60.7,51.4,36.9
CUS-00006,ADV-0061,2,0.0407,16.7,95.9,92.0,84.7,71.7,60.7,51.4,36.8
CUS-00006,ADV-0114,3,0.0398,17.1,96.0,92.2,85.0,72.3,61.4,52.2,37.8
CUS-00007,ADV-0048,1,0.011,62.5,98.9,97.8,95.7,91.5,87.5,83.7,76.6
CUS-00007,ADV-0222,2,0.0114,60.6,98.9,97.7,95.5,91.3,87.2,83.3,76.0
CUS-00007,ADV-0100,3,0.011,62.5,98.9,97.8,95.7,91.5,87.5,83.7,76.6
CUS-00008,ADV-0111,1,0.0136,50.5,98.6,97.3,94.7,89.6,84.8,80.3,72.0
CUS-00008,ADV-0019,2,0.0148,46.5,98.5,97.1,94.2,88.8,83.6,78.8,69.9
CUS-00008,ADV-0095,3,0.0142,48.6,98.6,97.2,94.5,89.2,84.3,79.6,71.0
CUS-00009,ADV-0088,1,0.0268,25.5,97.3,94.7,89.7,80.4,72.2,64.7,52.1
CUS-00009,ADV-0092,2,0.0265,25.9,97.4,94.8,89.8,80.7,72.5,65.1,52.6
CUS-00009,ADV-0073,3,0.0266,25.8,97.3,94.8,89.8,80.6,72.4,65.0,52.4
CUS-00010,ADV-0011,1,0.0276,24.7,97.2,94.5,89.4,79.9,71.4,63.9,51.0
CUS-00010,ADV-0104,2,0.029,23.5,97.1,94.3,88.9,79.0,70.2,62.4,49.3
CUS-00010,ADV-0148,3,0.0273,25.0,97.3,94.6,89.5,80.1,71.7,64.2,51.4
CUS-00011,ADV-0100,1,0.0335,20.3,96.6,93.4,87.3,76.1,66.4,58.0,44.1
CUS-00011,ADV-0112,2,0.0324,21.0,96.8,93.6,87.6,76.8,67.3,59.0,45.3
CUS-00011,ADV-0110,3,0.0336,20.3,96.6,93.4,87.2,76.1,66.3,57.9,44.0
CUS-00012,ADV-0039,1,0.0358,19.0,96.4,93.0,86.4,74.7,64.5,55.8,41.7
CUS-00012,ADV-0014,2,0.0364,18.7,96.4,92.9,86.2,74.4,64.1,55.3,41.1
CUS-00012,ADV-0086,3,0.0363,18.8,96.4,92.9,86.3,74.4,64.2,55.4,41.2
CUS-00013,ADV-0176,1,0.0519,13.0,94.8,89.9,80.8,65.3,52.7,42.6,27.8
CUS-00013,ADV-0090,2,0.0529,12.7,94.7,89.7,80.4,64.7,52.1,41.9,27.1
CUS-00013,ADV-0115,3,0.0533,12.7,94.7,89.6,80.3,64.5,51.9,41.7,26.9
CUS-00014,ADV-0123,1,0.0455,14.9,95.5,91.1,83.0,68.9,57.2,47.5,32.7
